path,temp
/World/Rack1/,9.1
/World/Rack2/,7.6
/World/Rack1/,9.7
/World/Rack2/,22.6
/World/Rack2/,15.5
/World/Rack1/,17.1
/World/Rack2/,14.2
/World/Rack1/,7.8
/World/Rack2/,8.3
/World/Rack1/,16.4
/World/Rack2/,17.1
/World/Rack2/,21.2
/World/Rack1/,15.0
/World/Rack2/,9.8
/World/Rack2/,8.4
/World/Rack1/,9.0
/World/Rack1/,13.1
/World/Rack1/,12.0
/World/Rack1/,12.1
/World/Rack1/,14.1
/World/Rack2/,7.9
/World/Rack2/,21.1
/World/Rack1/,19.5
/World/Rack1/,22.6
/World/Rack2/,9.9
/World/Rack1/,12.7
/World/Rack1/,20.2
/World/Rack1/,22.1
/World/Rack1/,9.0
/World/Rack1/,21.9
/World/Rack1/,17.8
/World/Rack1/,9.2
/World/Rack1/,10.2
/World/Rack2/,16.1
/World/Rack2/,22.2
/World/Rack1/,8.1
/World/Rack2/,16.5
/World/Rack1/,10.4
/World/Rack1/,9.8
/World/Rack2/,20.1
/World/Rack1/,20.0
/World/Rack2/,13.6
/World/Rack2/,13.8
/World/Rack1/,22.2
/World/Rack2/,9.5
/World/Rack2/,19.1
/World/Rack2/,12.3
/World/Rack2/,14.4
/World/Rack1/,20.1
/World/Rack2/,13.9
/World/Rack2/,18.8
/World/Rack2/,14.6
/World/Rack2/,16.2
/World/Rack1/,12.5
/World/Rack2/,8.6
/World/Rack1/,17.2
/World/Rack1/,18.1
/World/Rack1/,10.6
/World/Rack2/,11.5
/World/Rack1/,14.9
/World/Rack1/,10.3
/World/Rack1/,18.8
/World/Rack2/,18.4
/World/Rack1/,9.0
/World/Rack1/,17.0
/World/Rack2/,21.3
/World/Rack2/,17.0
/World/Rack2/,21.7
/World/Rack2/,11.1
/World/Rack1/,18.3
/World/Rack1/,9.2
/World/Rack2/,19.1
/World/Rack2/,11.1
/World/Rack2/,17.7
/World/Rack2/,19.4
/World/Rack2/,8.1
/World/Rack1/,17.7
/World/Rack1/,14.5
/World/Rack1/,12.4
/World/Rack1/,13.5
/World/Rack2/,12.7
/World/Rack2/,21.0
/World/Rack2/,14.6
/World/Rack2/,22.2
/World/Rack2/,11.7
/World/Rack2/,15.0
/World/Rack1/,13.8
/World/Rack1/,17.3
/World/Rack2/,19.0
/World/Rack1/,12.1
/World/Rack2/,17.3
/World/Rack2/,10.8
/World/Rack1/,21.5
/World/Rack1/,20.5
/World/Rack2/,16.5
/World/Rack2/,10.0
/World/Rack2/,22.1
/World/Rack2/,11.5
/World/Rack2/,20.0
/World/Rack2/,21.3
